Time (sec.), Cycles, "bFlag"
0.967054528, 69627926, 0.000000000
0.968054569, 69699929, 1.000000000
0.969054597, 69771931, 0.000000000
0.970054639, 69843934, 1.000000000
0.971054667, 69915936, 0.000000000
0.972054708, 69987939, 1.000000000
0.973054736, 70059941, 0.000000000
0.974054778, 70131944, 1.000000000
0.975054806, 70203946, 0.000000000
0.976054847, 70275949, 1.000000000
0.977054875, 70347951, 0.000000000
0.978054917, 70419954, 1.000000000
0.979054944, 70491956, 0.000000000
0.980054986, 70563959, 1.000000000
0.981055014, 70635961, 0.000000000
0.982055056, 70707964, 1.000000000
0.983055083, 70779966, 0.000000000
0.984055125, 70851969, 1.000000000
0.985055153, 70923971, 0.000000000
0.986055194, 70995974, 1.000000000
0.987055222, 71067976, 0.000000000
0.988055264, 71139979, 1.000000000
0.989055292, 71211981, 0.000000000
0.990055333, 71283984, 1.000000000
0.991055361, 71355986, 0.000000000
0.992055403, 71427989, 1.000000000
0.993055431, 71499991, 0.000000000
0.994055472, 71571994, 1.000000000
0.995055500, 71643996, 0.000000000
0.996055542, 71715999, 1.000000000
0.997055569, 71788001, 0.000000000
0.998055611, 71860004, 1.000000000
0.999055639, 71932006, 0.000000000
1.000055681, 72004009, 1.000000000
1.001055708, 72076011, 0.000000000
1.002055750, 72148014, 1.000000000
1.003055778, 72220016, 0.000000000
1.004055819, 72292019, 1.000000000
1.005055847, 72364021, 0.000000000
1.006055889, 72436024, 1.000000000
1.007055917, 72508026, 0.000000000
1.008055958, 72580029, 1.000000000
1.009055986, 72652031, 0.000000000
1.010056028, 72724034, 1.000000000
1.011056056, 72796036, 0.000000000
1.012056097, 72868039, 1.000000000
1.013056125, 72940041, 0.000000000
1.014056167, 73012044, 1.000000000
1.015056194, 73084046, 0.000000000
1.016056236, 73156049, 1.000000000
1.017056264, 73228051, 0.000000000
1.018056306, 73300054, 1.000000000
1.019056333, 73372056, 0.000000000
1.020056375, 73444059, 1.000000000
1.021056403, 73516061, 0.000000000
1.022056444, 73588064, 1.000000000
1.023056472, 73660066, 0.000000000
1.024056514, 73732069, 1.000000000
1.025056542, 73804071, 0.000000000
1.026056583, 73876074, 1.000000000
1.027056611, 73948076, 0.000000000
1.028056653, 74020079, 1.000000000
1.029056681, 74092081, 0.000000000
1.030056722, 74164084, 1.000000000
1.031056750, 74236086, 0.000000000
1.032056792, 74308089, 1.000000000
1.033056819, 74380091, 0.000000000
1.034056861, 74452094, 1.000000000
1.035056889, 74524096, 0.000000000
1.036056931, 74596099, 1.000000000
1.037056958, 74668101, 0.000000000
1.038057000, 74740104, 1.000000000
1.039057028, 74812106, 0.000000000
1.040057069, 74884109, 1.000000000
1.041057097, 74956111, 0.000000000
1.042057139, 75028114, 1.000000000
1.043057167, 75100116, 0.000000000
1.044057208, 75172119, 1.000000000
1.045057236, 75244121, 0.000000000
1.046057278, 75316124, 1.000000000
1.047057306, 75388126, 0.000000000
1.048057347, 75460129, 1.000000000
1.049057375, 75532131, 0.000000000
1.050057417, 75604134, 1.000000000
1.051057444, 75676136, 0.000000000
1.052057486, 75748139, 1.000000000
1.053057514, 75820141, 0.000000000
1.054057556, 75892144, 1.000000000
1.055057583, 75964146, 0.000000000
1.056057625, 76036149, 1.000000000
1.057057653, 76108151, 0.000000000
1.058057694, 76180154, 1.000000000
1.059057722, 76252156, 0.000000000
1.060057764, 76324159, 1.000000000
1.061057792, 76396161, 0.000000000
1.062057833, 76468164, 1.000000000
1.063057861, 76540166, 0.000000000
1.064057903, 76612169, 1.000000000
1.065057931, 76684171, 0.000000000
1.066057972, 76756174, 1.000000000
1.067058000, 76828176, 0.000000000
1.068058042, 76900179, 1.000000000
1.069058069, 76972181, 0.000000000
1.070058111, 77044184, 1.000000000
1.071058139, 77116186, 0.000000000
1.072058181, 77188189, 1.000000000
1.073058208, 77260191, 0.000000000
1.074058250, 77332194, 1.000000000
1.075058278, 77404196, 0.000000000
1.076058319, 77476199, 1.000000000
1.077058347, 77548201, 0.000000000
1.078058389, 77620204, 1.000000000
1.079058417, 77692206, 0.000000000
1.080058458, 77764209, 1.000000000
1.081058486, 77836211, 0.000000000
1.082058528, 77908214, 1.000000000
1.083058556, 77980216, 0.000000000
1.084058597, 78052219, 1.000000000
1.085058625, 78124221, 0.000000000
1.086058667, 78196224, 1.000000000
1.087058694, 78268226, 0.000000000
1.088058736, 78340229, 1.000000000
1.089058764, 78412231, 0.000000000
1.090058806, 78484234, 1.000000000
1.091058833, 78556236, 0.000000000
1.092058875, 78628239, 1.000000000
1.093058903, 78700241, 0.000000000
1.094058944, 78772244, 1.000000000
1.095058972, 78844246, 0.000000000
1.096059014, 78916249, 1.000000000
1.097059042, 78988251, 0.000000000
1.098059083, 79060254, 1.000000000
1.099059111, 79132256, 0.000000000
1.100059153, 79204259, 1.000000000
1.101059181, 79276261, 0.000000000
1.102059222, 79348264, 1.000000000
1.103059250, 79420266, 0.000000000
1.104059292, 79492269, 1.000000000
1.105059319, 79564271, 0.000000000
